ID,AGE,GENDER,DRIVING_EXPERIENCE,INCOME,CREDIT_SCORE,VEHICLE_OWNERSHIP,VEHICLE_YEAR,MARRIED,CHILDREN,POSTAL_CODE,ANNUAL_MILEAGE,SPEEDING_VIOLATIONS,DUIS,PAST_ACCIDENTS,OUTCOME,Vehicle t ype,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,,,air bag
275820,65+,male,30y+,upper class,0.620361264,1,after 2015,1,1,10238,10000,6,2,7,0,Sedan,40.701275,-73.88887,"(40.701275, -73.88887)",MYRTLE AVENUE,,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,,,0
521399,65+,female,30y+,upper class,0.729830882,1,after 2015,1,0,32765,12000,4,0,0,0,Station Wagon/Sport Utility Vehicle,40.675884,-73.75577,"(40.675884, -73.75577)",SPRINGFIELD BOULEVARD,EAST GATE PLAZA,,0,0,0,0,0,0,0,0,Turning Improperly,,,1
429728,40-64,male,20-29y,upper class,0.637044744,1,before 2015,1,1,10238,8000,4,1,2,0,Sedan,,,,broadway,west 80 street -west 81 street,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,,,0
569640,16-25,female,0-9y,upper class,0.591259972,1,before 2015,0,1,10238,,0,0,0,0,Sedan,40.59662,-74.00231,"(40.59662, -74.00231)",BELT PARKWAY,,,0,0,0,0,0,0,0,0,Unsafe Speed,,,1
980181,26-39,male,10-19y,middle class,0.461567963,1,before 2015,1,1,10238,12000,0,2,1,0,Tanker,40.66684,-73.78941,"(40.66684, -73.78941)",NORTH CONDUIT AVENUE,150 STREET,,2,0,0,0,0,0,2,0,Reaction to Uninvolved Vehicle,,,0
906223,26-39,female,0-9y,upper class,0.762797941,0,after 2015,1,0,10238,,0,0,0,0,Sedan,40.68158,-73.97463,"(40.68158, -73.97463)",,,480       DEAN STREET,0,0,0,0,0,0,0,0,Passing Too Closely,,,1
517747,65+,male,30y+,upper class,0.796174846,1,before 2015,1,1,32765,,10,2,1,0,Station Wagon/Sport Utility Vehicle,40.65068,-73.95881,"(40.65068, -73.95881)",,,878       FLATBUSH AVENUE,4,0,0,0,0,0,4,0,Steering Failure,,,0
24851,16-25,male,0-9y,poverty,,0,before 2015,1,0,32765,12000,0,0,0,1,Station Wagon/Sport Utility Vehicle,,,,MEEKER AVENUE,LORIMER STREET,,3,0,0,0,0,0,3,0,Traffic Control Disregarded,,,1
104086,26-39,female,0-9y,upper class,0.68059428,1,before 2015,0,1,32765,,0,0,0,1,Station Wagon/Sport Utility Vehicle,40.87262,-73.904686,"(40.87262, -73.904686)",WEST KINGSBRIDGE ROAD,HEATH AVENUE,,1,0,0,0,0,0,1,0,Unspecified,,,0
240658,16-25,female,0-9y,working class,0.417713982,1,before 2015,0,1,10238,18000,0,0,0,1,Station Wagon/Sport Utility Vehicle,40.783268,-73.82485,"(40.783268, -73.82485)",WHITESTONE EXPRESSWAY,,,0,0,0,0,0,0,0,0,Following Too Closely,,,1
484399,16-25,female,0-9y,working class,0.409513531,0,before 2015,0,0,10238,17000,0,0,0,1,Station Wagon/Sport Utility Vehicle,40.748917,-73.993546,"(40.748917, -73.993546)",,,232       WEST 30 STREET,0,0,0,0,0,0,0,0,Following Too Closely,,,0
912828,16-25,male,0-9y,middle class,0.553260053,1,after 2015,1,1,32765,8000,0,0,0,1,Sedan,40.744644,-73.77041,"(40.744644, -73.77041)",LONG ISLAND EXPRESSWAY,,,1,0,0,0,0,0,1,0,Other Vehicular,,,1
892754,40-64,male,20-29y,poverty,0.330950262,1,before 2015,1,1,10238,13000,3,1,1,0,Station Wagon/Sport Utility Vehicle,40.75373,-73.88505,"(40.75373, -73.88505)",82 STREET,34 AVENUE,,0,0,0,0,0,0,0,0,Unspecified,,,0
217,16-25,male,0-9y,poverty,,0,before 2015,0,0,10238,17000,0,0,0,0,Sedan,40.804375,-73.93742,"(40.804375, -73.93742)",LEXINGTON AVENUE,,,1,0,1,0,0,0,0,0,Unspecified,,,1
633896,65+,male,30y+,upper class,0.50063066,1,before 2015,1,1,32765,7000,13,2,3,0,Sedan,40.63165,-74.08762,"(40.63165, -74.08762)",VICTORY BOULEVARD,WOODSTOCK AVENUE,,1,0,0,0,0,0,1,0,Unspecified,,,0
193110,26-39,female,10-19y,middle class,0.551970181,1,before 2015,1,0,10238,14000,0,0,0,0,Sedan,40.623104,-73.95809,"(40.623104, -73.95809)",EAST 18 STREET,AVENUE K,,1,0,1,0,0,0,0,0,Unspecified,,,1
98515,40-64,male,10-19y,middle class,0.62699605,1,before 2015,0,0,10238,13000,1,1,0,0,Sedan,40.66576,-73.9845,"(40.66576, -73.9845)",,,366       12 STREET,0,0,0,0,0,0,0,0,Passing Too Closely,,,0
165623,26-39,male,10-19y,poverty,0.294797481,1,before 2015,1,0,10238,15000,0,0,1,0,Bus,40.687534,-73.9775,"(40.687534, -73.9775)",FULTON STREET,SAINT FELIX STREET,,1,0,0,0,1,0,0,0,Unspecified,,,1
493590,26-39,male,10-19y,middle class,0.551950495,0,after 2015,0,0,10238,17000,0,0,1,0,Taxi,40.710957,-73.951126,"(40.710957, -73.951126)",GRAND STREET,UNION AVENUE,,1,0,0,0,0,0,1,0,Passing or Lane Usage Improper,,,0
389792,65+,male,0-9y,upper class,0.649820471,1,after 2015,1,1,32765,9000,0,0,0,1,Station Wagon/Sport Utility Vehicle,40.81813,-73.910126,"(40.81813, -73.910126)",,,713       EAGLE AVENUE,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,,,1
642614,40-64,male,20-29y,middle class,0.521804435,1,after 2015,1,1,92101,7000,2,0,1,0,Van,40.70447,-73.90148,"(40.70447, -73.90148)",,,59-14     67 AVENUE,0,0,0,0,0,0,0,0,Passing Too Closely,,,0
951465,65+,female,30y+,upper class,0.701268324,1,before 2015,1,1,10238,10000,3,1,1,0,Bus,40.784615,-73.953964,"(40.784615, -73.953964)",EAST 93 STREET,,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,,,1
496987,16-25,male,0-9y,poverty,0.171244029,1,before 2015,1,1,10238,9000,0,0,0,0,,,,,EASTCHESTER ROAD,PELHAM PARKWAY NORTH,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,,,0
732437,16-25,male,0-9y,poverty,0.318441997,1,before 2015,0,1,32765,10000,0,0,0,1,Motorscooter,,,,KINGSLAND AVENUE,MEEKER AVENUE,,1,0,1,0,0,0,0,0,Traffic Control Disregarded,,,1
146897,26-39,female,0-9y,middle class,0.60468427,1,before 2015,1,1,21217,11000,0,0,0,1,Station Wagon/Sport Utility Vehicle,,,,WILLIAMSBURG BRIDGE OUTER ROADWA,,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,,,0
316173,16-25,male,0-9y,working class,0.504994853,0,after 2015,0,0,32765,8000,0,0,0,1,Sedan,,,,HUTCHINSON RIVER PARKWAY,,,0,0,0,0,0,0,0,0,Pavement Slippery,,,1
9013,26-39,male,10-19y,working class,0.625146635,1,before 2015,0,1,10238,17000,3,0,2,0,Sedan,,,,THROGS NECK BRIDGE,,,1,0,0,0,0,0,1,0,Unsafe Lane Changing,,,0
511757,40-64,female,10-19y,middle class,,1,before 2015,1,1,10238,11000,2,0,1,0,Bike,40.663303,-73.96049,"(40.663303, -73.96049)",,,44        EMPIRE BOULEVARD,0,0,0,0,0,0,0,0,Oversized Vehicle,,,1
429947,65+,male,30y+,upper class,,0,after 2015,0,1,10238,12000,6,0,5,0,Bus,,,,,,71        EAST DRIVE,0,0,0,0,0,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,,0
485660,40-64,male,10-19y,upper class,0.578130587,1,before 2015,0,1,92101,14000,1,0,1,0,Station Wagon/Sport Utility Vehicle,40.720535,-73.88885,"(40.720535, -73.88885)",ELIOT AVENUE,,,0,1,0,1,0,0,0,0,Unspecified,,,1
80496,65+,male,30y+,upper class,0.70545429,1,before 2015,1,1,10238,10000,5,1,3,0,Station Wagon/Sport Utility Vehicle,40.607685,-74.13892,"(40.607685, -74.13892)",STATEN ISLAND EXPRESSWAY,,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,,,0
478336,40-64,male,20-29y,upper class,0.659525491,1,after 2015,0,1,10238,16000,4,0,2,0,E-Bike,40.855972,-73.869896,"(40.855972, -73.869896)",BOSTON ROAD,BRONX PARK EAST,,0,0,0,0,0,0,0,0,Unspecified,,,1
10843,40-64,male,20-29y,upper class,0.587383612,0,after 2015,1,1,32765,9000,10,2,0,0,Station Wagon/Sport Utility Vehicle,40.790276,-73.9396,"(40.790276, -73.9396)",EAST 107 STREET,,,1,0,1,0,0,0,0,0,Traffic Control Disregarded,,,0
397446,16-25,male,0-9y,poverty,0.406482425,0,before 2015,0,0,10238,16000,0,0,0,1,Sedan,40.642986,-74.01621,"(40.642986, -74.01621)",,,5610      4 AVENUE,0,0,0,0,0,0,0,0,Unspecified,,,1
101678,26-39,female,10-19y,poverty,0.285747132,0,before 2015,0,1,10238,13000,1,0,0,1,Taxi,0,0,"(0.0, 0.0)",,,116-44    234 STREET,0,0,0,0,0,0,0,0,Unsafe Lane Changing,,,0
231661,40-64,male,20-29y,middle class,0.502284965,0,before 2015,0,0,10238,14000,3,0,4,0,Sedan,40.843906,-73.92413,"(40.843906, -73.92413)",BOSCOBEL PLACE,UNIVERSITY AVENUE,,0,0,0,0,0,0,0,0,Alcohol Involvement,,,1
173782,65+,male,20-29y,upper class,0.625625721,1,after 2015,1,1,10238,7000,7,0,5,0,Station Wagon/Sport Utility Vehicle,40.89481,-73.86183,"(40.89481, -73.86183)",BRONX RIVER PARKWAY,EAST 233 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,,,0
921097,40-64,female,20-29y,upper class,,1,after 2015,1,1,92101,11000,3,0,2,0,Sedan,0,0,"(0.0, 0.0)",EAST 162 STREET,,,1,0,0,0,0,0,0,0,Driver Inattention/Distraction,,,1
98839,26-39,female,10-19y,working class,0.39315313,1,before 2015,0,1,32765,12000,1,0,0,0,Sedan,40.85169,-73.95238,"(40.85169, -73.95238)",CROSS BRONX EXPY,,,0,0,0,0,0,0,0,0,Unspecified,,,0
105372,26-39,female,10-19y,working class,0.50394976,0,before 2015,0,1,10238,14000,1,0,0,0,Sedan,40.861862,-73.91275,"(40.861862, -73.91275)",MAJOR DEEGAN EXPRESSWAY,WEST FORDHAM ROAD,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,,,1
888828,40-64,male,20-29y,upper class,0.65862743,1,before 2015,1,0,10238,14000,3,0,2,0,Station Wagon/Sport Utility Vehicle,40.666256,-73.900215,"(40.666256, -73.900215)",,,360       SNEDIKER AVENUE,0,0,0,0,0,0,0,0,Unspecified,,,0
37454,26-39,female,0-9y,working class,0.524146466,0,before 2015,0,0,10238,17000,0,0,0,1,Sedan,40.767242,-73.986206,"(40.767242, -73.986206)",WEST 56 STREET,9 AVENUE,,1,0,0,0,1,0,0,0,View Obstructed/Limited,,,1
370044,65+,male,20-29y,upper class,0.553100757,0,after 2015,1,1,32765,7000,9,0,1,0,Station Wagon/Sport Utility Vehicle,40.62417,-73.97048,"(40.62417, -73.97048)",AVENUE J,OCEAN PARKWAY,,1,0,0,0,0,0,1,0,Unspecified,,,0
768282,16-25,female,0-9y,working class,0.447550949,0,before 2015,1,1,10238,8000,0,0,0,1,Station Wagon/Sport Utility Vehicle,40.679955,-73.97491,"(40.679955, -73.97491)",SAINT MARKS AVENUE,6 AVENUE,,0,0,0,0,0,0,0,0,Turning Improperly,,,1
738729,16-25,female,0-9y,working class,0.510733137,1,before 2015,1,1,10238,7000,0,0,0,1,Sedan,40.692356,-73.94282,"(40.692356, -73.94282)",THROOP AVENUE,DE KALB AVENUE,,1,0,0,0,0,0,1,0,Traffic Control Disregarded,,,0
437535,26-39,female,10-19y,middle class,,1,after 2015,1,0,10238,15000,0,0,0,0,Sedan,40.78291,-73.98578,"(40.78291, -73.98578)",HENRY HUDSON PARKWAY,,,0,0,0,0,0,0,0,0,Driver Inexperience,,,1
329536,16-25,female,0-9y,poverty,0.461373592,0,before 2015,0,0,32765,9000,0,0,0,1,Station Wagon/Sport Utility Vehicle,40.67308,-73.91124,"(40.67308, -73.91124)",ROCKAWAY AVENUE,,,0,0,0,0,0,0,0,0,Unspecified,,,0
328531,40-64,female,20-29y,middle class,0.387556944,0,after 2015,0,1,32765,12000,2,0,1,0,Sedan,40.65011,-73.930214,"(40.65011, -73.930214)",UTICA AVENUE,SNYDER AVENUE,,1,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,,,1
123941,40-64,female,20-29y,middle class,0.570157226,1,after 2015,1,1,10238,,0,0,0,0,Sedan,40.638382,-74.03668,"(40.638382, -74.03668)",BELT PARKWAY,,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,,,0
131881,26-39,male,10-19y,working class,0.550125088,1,before 2015,0,0,10238,16000,0,1,0,0,Sedan,40.69261,-73.81143,"(40.69261, -73.81143)",,,102-24    VANWYCK EXPRESSWAY,0,0,0,0,0,0,0,0,Aggressive Driving/Road Rage,,,1
839572,40-64,male,20-29y,working class,0.452944232,0,before 2015,1,1,10238,12000,3,0,1,0,Sedan,40.745235,-73.937706,"(40.745235, -73.937706)",THOMSON AVENUE,SKILLMAN AVENUE,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,,,0
171578,26-39,male,10-19y,upper class,,1,before 2015,1,1,10238,8000,2,0,1,0,Sedan,,,,VANWYCK EXPRESSWAY,109 AVENUE,,1,0,0,0,0,0,1,0,Traffic Control Disregarded,,,1
589757,40-64,female,20-29y,upper class,0.53527431,1,before 2015,1,1,92101,7000,2,0,0,0,Ambulance,40.758705,-73.93793,"(40.758705, -73.93793)",21 STREET,37 AVENUE,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,,,0
336859,16-25,female,0-9y,middle class,0.614735949,1,before 2015,0,1,10238,15000,0,0,0,1,Sedan,40.695156,-73.845406,"(40.695156, -73.845406)",JAMAICA AVENUE,102 STREET,,0,0,0,0,0,0,0,0,Reaction to Uninvolved Vehicle,,,1
788111,40-64,female,20-29y,poverty,0.454447156,1,before 2015,1,1,10238,,1,0,1,0,Station Wagon/Sport Utility Vehicle,40.748158,-73.97033,"(40.748158, -73.97033)",1 AVENUE,EAST 41 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,,,1
407453,40-64,female,0-9y,upper class,0.613740918,1,before 2015,0,0,10238,,0,0,0,0,Bike,40.609535,-73.75372,"(40.609535, -73.75372)",BEACH CHANNEL DRIVE,,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,,,0
367026,40-64,female,10-19y,working class,0.532661328,1,before 2015,1,1,10238,11000,0,0,0,0,Station Wagon/Sport Utility Vehicle,40.59207,-73.96299,"(40.59207, -73.96299)",EAST 7 STREET,CRAWFORD AVENUE,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,,,1
334687,40-64,female,0-9y,middle class,0.427728514,1,before 2015,0,0,10238,15000,0,0,0,1,Sedan,40.850018,-73.9107,"(40.850018, -73.9107)",WEST 177 STREET,,,0,0,0,0,0,0,0,0,Unspecified,,,0
623367,65+,male,20-29y,upper class,0.685945721,1,before 2015,1,1,32765,5000,4,1,4,0,Sedan,40.653023,-73.73895,"(40.653023, -73.73895)",149 AVENUE,HUXLEY STREET,,1,0,0,0,0,0,1,0,Alcohol Involvement,,,1
688440,65+,male,10-19y,upper class,0.693612427,1,before 2015,1,1,10238,10000,2,0,0,0,Sedan,40.62573,-73.9564,"(40.62573, -73.9564)",AVENUE J,,,0,0,0,0,0,0,0,0,Unsafe Speed,,,1
547974,65+,male,20-29y,upper class,0.597990596,0,before 2015,1,1,10238,12000,2,1,7,1,Taxi,40.665375,-73.934235,"(40.665375, -73.934235)",CROWN STREET,SCHENECTADY AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,,,1
989064,26-39,male,0-9y,poverty,0.330818666,0,after 2015,1,1,10238,12000,0,0,0,1,Sedan,40.776237,-73.943825,"(40.776237, -73.943825)",EAST END AVENUE,EAST 88 STREET,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,,,1
422816,40-64,male,20-29y,working class,,1,before 2015,0,0,10238,12000,5,0,7,0,Sedan,40.640835,-73.98967,"(40.640835, -73.98967)",12 AVENUE,41 STREET,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,,,1
307408,26-39,female,10-19y,working class,,1,before 2015,0,1,10238,9000,2,0,0,0,Sedan,40.593636,-73.797264,"(40.593636, -73.797264)",,,437       BEACH 68 STREET,0,0,0,0,0,0,0,0,Unsafe Speed,,,1
675898,16-25,male,0-9y,middle class,0.508304218,1,before 2015,0,1,10238,16000,0,0,0,0,Station Wagon/Sport Utility Vehicle,40.674263,-73.80453,"(40.674263, -73.80453)",,,122-42    134 STREET,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,,,1
480452,26-39,female,0-9y,upper class,0.764132917,1,before 2015,1,1,10238,12000,0,0,0,0,Sedan,40.70476,-73.96491,"(40.70476, -73.96491)",TAYLOR STREET,,,0,0,0,0,0,0,0,0,Steering Failure,,,1
93199,40-64,female,0-9y,middle class,0.47751696,1,after 2015,1,1,10238,14000,0,0,0,0,,40.569626,-74.190735,"(40.569626, -74.190735)",WEST SHORE EXPRESSWAY,,,0,0,0,0,0,0,0,0,Following Too Closely,,,1
125802,40-64,female,20-29y,upper class,0.681233208,1,before 2015,1,1,10238,10000,0,0,1,0,Sedan,40.698463,-73.960205,"(40.698463, -73.960205)",FLUSHING AVENUE,KENT AVENUE,,0,0,0,0,0,0,0,0,Following Too Closely,,,1
616663,40-64,male,0-9y,upper class,0.467155546,1,after 2015,0,0,10238,16000,0,0,0,0,Station Wagon/Sport Utility Vehicle,40.658413,-73.9171,"(40.658413, -73.9171)",,,393       ROCKAWAY PARKWAY,0,0,0,0,0,0,0,0,Unspecified,,,1
423497,16-25,female,0-9y,working class,0.394163245,1,before 2015,0,0,10238,16000,0,0,0,1,Box Truck,40.76175,-73.96899,"(40.76175, -73.96899)",,,127       EAST 58 STREET,1,0,0,0,1,0,0,0,Following Too Closely,,,1
492837,40-64,female,10-19y,upper class,0.661060732,1,after 2015,1,1,10238,14000,0,0,0,0,Garbage or Refuse,40.736614,-73.9951,"(40.736614, -73.9951)",,,44        WEST 14 STREET,1,0,0,0,1,0,0,0,Passing or Lane Usage Improper,,,1
422563,40-64,male,20-29y,upper class,0.665187975,0,before 2015,0,1,10238,14000,2,0,1,0,Taxi,,,,FLATBUSH AVENUE,GRAND ARMY PLAZA,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,,,1
185231,16-25,female,0-9y,middle class,0.560770207,1,before 2015,0,1,10238,11000,0,0,0,0,Sedan,,,,OCEAN PARKWAY,,,4,0,0,0,0,0,4,0,Unsafe Speed,,,1
949152,26-39,female,10-19y,upper class,0.74543271,0,after 2015,0,0,32765,9000,0,0,0,0,Sedan,40.62121,-74.12385,"(40.62121, -74.12385)",,,288       MANOR ROAD,0,0,0,0,0,0,0,0,Pavement Slippery,,,1
859453,26-39,male,10-19y,middle class,0.532574352,1,before 2015,1,1,10238,13000,1,0,2,0,Sedan,40.873737,-73.90593,"(40.873737, -73.90593)",MAJOR DEEGAN EXPRESSWAY,,,0,0,0,0,0,0,0,0,Unspecified,,,1
466578,26-39,female,10-19y,middle class,0.526747339,1,after 2015,0,1,10238,14000,0,0,0,0,Sedan,40.66718,-73.95076,"(40.66718, -73.95076)",CARROLL STREET,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,,,1
998214,16-25,female,0-9y,poverty,0.412451746,0,before 2015,0,0,10238,14000,0,0,0,1,Sedan,40.754295,-73.93946,"(40.754295, -73.93946)",23 STREET,40 AVENUE,,0,0,0,0,0,0,0,0,View Obstructed/Limited,,,1
828462,40-64,male,20-29y,working class,0.387107145,0,before 2015,0,1,10238,16000,0,0,6,0,Station Wagon/Sport Utility Vehicle,40.588116,-73.97261,"(40.588116, -73.97261)",AVENUE Y,,,0,0,0,0,0,0,0,0,Passing Too Closely,,,1
511837,65+,male,10-19y,middle class,0.549993868,1,before 2015,1,1,32765,9000,3,1,1,0,Station Wagon/Sport Utility Vehicle,40.854935,-73.85822,"(40.854935, -73.85822)",,,2123      LURTING AVENUE,0,0,0,0,0,0,0,0,Oversized Vehicle,,,1
554995,16-25,male,0-9y,upper class,0.585342095,1,before 2015,1,1,10238,12000,0,0,0,1,Sedan,40.662575,-73.93448,"(40.662575, -73.93448)",SCHENECTADY AVENUE,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,,,1
680717,65+,male,30y+,middle class,0.598739605,1,before 2015,1,1,10238,14000,6,1,3,0,Sedan,40.7448,-73.953415,"(40.7448, -73.953415)",47 ROAD,,,1,0,1,0,0,0,0,0,Unspecified,,,1
978021,40-64,male,20-29y,upper class,0.6026557,1,after 2015,1,1,10238,7000,4,0,6,0,Sedan,40.79672,-73.97618,"(40.79672, -73.97618)",HENRY HUDSON PARKWAY,,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,,,1
509815,26-39,female,0-9y,working class,0.511457058,1,after 2015,1,1,32765,,0,0,0,0,Sedan,40.752777,-73.70743,"(40.752777, -73.70743)",,,269-01    76 AVENUE,0,0,0,0,0,0,0,0,Illnes,,,1
6676,40-64,female,20-29y,upper class,0.558659174,0,before 2015,0,1,10238,15000,3,0,2,0,Sedan,40.638523,-73.92607,"(40.638523, -73.92607)",KINGS HIGHWAY,FARRAGUT ROAD,,2,0,0,0,0,0,2,0,Traffic Control Disregarded,,,1
362280,40-64,male,10-19y,working class,0.628407014,0,before 2015,0,0,10238,13000,0,0,0,1,Sedan,40.637833,-74.08193,"(40.637833, -74.08193)",CORSON AVENUE,WESTERVELT AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,,,1
883018,40-64,male,0-9y,working class,0.505790373,1,before 2015,0,1,10238,13000,0,0,0,0,Station Wagon/Sport Utility Vehicle,40.797836,-73.96946,"(40.797836, -73.96946)",WEST 101 STREET,BROADWAY,,1,0,0,0,0,0,1,0,Traffic Control Disregarded,,,1
889355,26-39,female,10-19y,upper class,0.726818418,1,before 2015,1,1,10238,15000,2,0,0,0,Station Wagon/Sport Utility Vehicle,40.734375,-73.87342,"(40.734375, -73.87342)",QUEENS BOULEVARD,57 AVENUE,,1,0,0,0,0,0,1,0,Lost Consciousness,,,1
198273,65+,male,20-29y,upper class,0.690442334,1,after 2015,1,1,32765,9000,8,0,2,0,Motorcycle,40.699947,-73.736626,"(40.699947, -73.736626)",115 AVENUE,221 STREET,,1,0,0,0,0,0,1,0,Following Too Closely,,,1
197763,40-64,male,20-29y,upper class,0.479677165,0,after 2015,1,0,10238,14000,1,0,2,0,Station Wagon/Sport Utility Vehicle,40.75632,-73.999275,"(40.75632, -73.999275)",,,515       WEST 36 STREET,1,0,0,0,0,0,1,0,Following Too Closely,,,1
55670,26-39,male,10-19y,upper class,,1,after 2015,1,1,10238,11000,3,1,0,0,Sedan,40.69614,-73.81789,"(40.69614, -73.81789)",131 STREET,ATLANTIC AVENUE,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,,,1
545941,40-64,female,20-29y,working class,0.440559204,1,after 2015,1,1,10238,11000,1,0,2,0,Station Wagon/Sport Utility Vehicle,40.631687,-73.9205,"(40.631687, -73.9205)",,,935       EAST 58 STREET,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,,,1
814196,16-25,female,0-9y,middle class,0.634052597,1,before 2015,0,1,32765,,0,0,0,1,Station Wagon/Sport Utility Vehicle,40.88839,-73.84666,"(40.88839, -73.84666)",LACONIA AVENUE,EAST 231 STREET,,2,0,0,0,0,0,2,0,Failure to Yield Right-of-Way,,,1
560160,16-25,female,0-9y,poverty,0.457469588,0,before 2015,0,0,10238,,0,0,0,0,Station Wagon/Sport Utility Vehicle,40.844425,-73.8639,"(40.844425, -73.8639)",,,1706      HOLLAND AVENUE,0,0,0,0,0,0,0,0,Unspecified,,,1
